date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,anthing
2/1/2021,MN,6202,5953,2,249,24352,24352,387,44,5045,92,2828505,5983,,,,,,462528,442390,721,0,,,,,,447420,6255856,19216,6255856,19216,,341986,,,3270895,6595,,0,
2/1/2021,MO,6748,,0,,,,1778,0,,401,1778050,2661,116694,,3649122,,244,459597,459597,778,0,20061,70855,,,507534,,,0,4165512,8720,136941,640880,124439,278896,2237647,3439,4165512,8720,
2/1/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,132,132,0,0,,,,,,29,,0,17561,0,,,,,17542,0,26131,0,
2/1/2021,MS,6056,4385,11,1671,8777,8777,948,130,,269,1327630,33142,,,,,152,275706,173783,705,0,,,,,,222812,,0,1603336,33847,74723,648722,,,,0,1501413,37779,
2/1/2021,MT,1234,,1,,4248,4248,108,3,,20,,0,,,,,15,94070,91810,121,0,,,,,,89218,,0,956718,2469,,,,,,0,956718,2469,
2/1/2021,NC,9342,8448,7,894,,,2781,0,,636,,0,,,,,,761302,680446,3776,0,,,,,,,,0,8401409,45291,,524653,,,,0,8401409,45291,
2/1/2021,ND,1447,,5,,3782,3782,47,2,553,8,296487,31,,,,,,97683,93323,53,0,,,,,,95308,1346554,555,1346554,555,,93194,,,394170,84,1431933,687,
2/1/2021,NE,1920,,0,,5815,5815,312,11,,,733348,629,,,1880481,,,190950,,237,0,,,,,220260,136972,,0,2102977,2854,,,,,924780,866,2102977,2854,
2/1/2021,NH,1059,,2,,1036,1036,193,-1,330,,552619,792,,,,,,66058,47263,363,0,,,,,,60337,,0,1267372,5215,38048,136456,36570,,599882,1049,1267372,5215,
2/1/2021,NJ,21513,19384,29,2129,60621,60621,2865,77,,531,8867312,156167,,,,,355,700346,626645,3517,0,,,,,,,,0,9567658,159684,,,,,,0,9493957,167610,
2/1/2021,NM,3295,,12,,12119,12119,477,44,,,,0,,,,,,174550,,486,0,,,,,,104125,,0,2354900,11445,,,,,,0,2354900,11445,
2/1/2021,NV,4278,,8,,,,1247,0,,290,1055021,2204,,,,,184,279146,279146,838,0,,,,,,,2496070,8021,2496070,8021,,,,,1334167,3042,,0,
2/1/2021,NY,35319,,141,,,,8003,0,,1500,,0,,,,,987,1419164,,8508,0,,,,,,,32336789,175038,32336789,175038,,,,,,0,,0,
2/1/2021,OH,11230,10000,55,1230,46438,46438,2521,223,6709,652,,0,,,,,454,899079,783158,3287,0,,70877,,,810600,786249,,0,9104857,30787,,1291665,,,,0,9104857,30787,
2/1/2021,OK,3564,,17,,21957,21957,1184,36,,345,2795341,0,,,2795341,,,390868,,1396,0,11794,,,,360890,358040,,0,3186209,1396,115559,,,,,0,3166000,0,
2/1/2021,OR,1957,,0,,7738,7738,320,0,,73,,0,,,2947838,,35,142416,,0,0,,,,,187912,,,0,3162750,0,,,,,,0,3162750,0,
2/1/2021,PA,21687,,26,,,,3280,0,,650,3646648,9497,,,,,420,846078,736236,2854,0,,,,,,693783,9264604,35893,9264604,35893,,,,,4382884,11990,,0,
2/1/2021,PR,1836,1547,7,289,,,282,0,,55,305972,0,,,395291,,40,94238,87440,614,0,69231,,,,20103,78813,,0,400210,614,,,,,,0,415664,0,
